pick_up_date,forwarders,warehouse_location,consignees,destination,number_of_packages,weight,quantity,value_of_package,number_of_pallets_per_day,trucking,trucking_billing
2022-01-03,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,1,2.82,48000,41179.05,1,6 WHEELER TRUCK - ELF,130
2022-01-04,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,2,7.65,4500,12244.8,1,6 WHEELER TRUCK - ELF,14
2022-01-04,Forwarder Alpha,PARANAQUE,Consignee India,KOREA,65,3.2,105400,70357.8,1,6 WHEELER TRUCK - ELF,130
2022-01-04,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,3,45.57,193500,474446.1,1,6 WHEELER TRUCK - ELF,14
2022-01-04,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,1,1.56,63000,3784.8,1,6 WHEELER TRUCK - ELF,14
2022-01-04,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,3,220.72,12800,59466,1,6 WHEELER TRUCK - ELF,14
2022-01-04,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,1,66.95,990000,37713.9,1,6 WHEELER TRUCK - ELF,14
2022-01-04,Forwarder Uniform,LAS PINAS,Consignee Victor,JAPAN,2,27.9,43500,9687.6,1,6 WHEELER TRUCK - ELF,110
2022-01-05,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,2,5.9,9000,14711.76,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,12,46.93,60000,5472.12,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,5,66.43,36000,4244.58,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Beta,PARANAQUE,Consignee Beta,TAIWAN,1,3.17,14400,1159.2,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,3,3.4,175500,64809.3,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,4,0.77,266900,32409.75,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,2,6.3,138000,55594.71,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,3,81.49,64000,4467.6,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,5,15.53,10500,73267.2,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Quebec,PARANAQUE,Consignee Tango,KOREA,2,86.46,44700,4809,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,17,5,4500,10609.14,2,6 WHEELER TRUCK - ELF,110
2022-01-05,Forwarder Alpha,PARANAQUE,Consignee India,KOREA,2,24.01,59900,8414.16,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,6,6.64,486300,193359,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,6,55.55,4500,60181.5,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,2,3.24,145700,57987.15,2,6 WHEELER TRUCK - ELF,14
2022-01-05,Forwarder Zeta,PARANAQUE,Consignee Zeta,CHINA,7,1.32,1282500,584.1,2,6 WHEELER TRUCK - ELF,130
2022-01-06,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,6,3.2,387000,32136.45,2,6 WHEELER TRUCK - ELF,14
2022-01-06,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,2,29.85,2628700,19545,2,6 WHEELER TRUCK - ELF,14
2022-01-06,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,11,3.94,35700,69478.95,2,6 WHEELER TRUCK - ELF,14
2022-01-06,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,7,99.32,1230000,49010.7,2,6 WHEELER TRUCK - ELF,14
2022-01-06,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,3,1.94,340500,16034,2,6 WHEELER TRUCK - ELF,14
2022-01-06,Forwarder Alpha,PARANAQUE,Consignee India,KOREA,26,24.98,226500,9919.2,2,6 WHEELER TRUCK - ELF,130
2022-01-06,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,1,110,10500,2664.45,2,6 WHEELER TRUCK - ELF,14
2022-01-06,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,8,8.98,21000,307.5,2,6 WHEELER TRUCK - ELF,14
2022-01-06,Forwarder Quebec,PARANAQUE,Consignee Romeo,KOREA,1,187.92,120000,412170.49,2,6 WHEELER TRUCK - ELF,14
2022-01-07,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,3,12.03,331500,4725.6,2,6 WHEELER TRUCK - ELF,14
2022-01-07,Forwarder Quebec,PARANAQUE,Consignee Romeo,KOREA,1,28.88,5600,12221.7,2,6 WHEELER TRUCK - ELF,14
2022-01-07,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,5,184.04,579100,92931.45,2,6 WHEELER TRUCK - ELF,14
2022-01-07,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,5,0.43,78000,18996.96,2,6 WHEELER TRUCK - ELF,14
2022-01-07,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,15,2.52,56400,1243.8,2,6 WHEELER TRUCK - ELF,110
2022-01-07,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,4,28.94,147000,6897.15,2,6 WHEELER TRUCK - ELF,14
2022-01-07,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,1,2.82,18000,11902.96,2,6 WHEELER TRUCK - ELF,130
2022-01-07,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,1,421.18,144000,1565.2,2,6 WHEELER TRUCK - ELF,14
2022-01-07,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,2,6.75,147000,1485.9,2,6 WHEELER TRUCK - ELF,14
2022-01-07,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,3,6.37,45000,3592.65,2,6 WHEELER TRUCK - ELF,14
2022-01-07,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,2,33.15,295500,66759,2,6 WHEELER TRUCK - ELF,14
2022-01-08,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,1,174.95,27000,79868.1,2,6 WHEELER TRUCK - ELF,130
2022-01-08,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,2,41.52,193000,11037.72,2,6 WHEELER TRUCK - ELF,14
2022-01-08,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,3,228.25,82500,11825.1,2,6 WHEELER TRUCK - ELF,14
2022-01-08,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,4,4.84,18000,12247.2,2,6 WHEELER TRUCK - ELF,14
2022-01-08,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,3,39.06,348000,400428.15,2,6 WHEELER TRUCK - ELF,14
2022-01-08,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,1,143.28,397500,22780.5,2,6 WHEELER TRUCK - ELF,14
2022-01-08,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,2,0.93,42000,13346.55,2,6 WHEELER TRUCK - ELF,110
2022-01-08,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,1,0.93,9000,1624.8,2,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,6,21.13,19000,103.65,4,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,4,0.7,9000,391.95,4,6 WHEELER TRUCK - ELF,110
2022-01-10,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,7,3.7,111800,307.5,4,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,8,574.88,178500,187171.72,4,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,2,60,124500,4291.95,4,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,2,9.41,12000,800.1,4,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,2,208.11,103500,1729.8,4,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,1,1.45,270000,37505.35,4,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,15,60.71,571500,82.05,4,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Quebec,PARANAQUE,Consignee Romeo,KOREA,1,78.32,136500,1330.5,4,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,3,2.83,7500,313185,4,6 WHEELER TRUCK - ELF,130
2022-01-10,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,5,45.49,7000,4903.05,4,6 WHEELER TRUCK - ELF,14
2022-01-10,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,5,1.87,46600,8621.25,4,6 WHEELER TRUCK - ELF,14
2022-01-11,Forwarder Quebec,PARANAQUE,Consignee Romeo,KOREA,4,104.99,225000,120.9,2,6 WHEELER TRUCK - ELF,14
2022-01-11,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,2,121.5,772500,4013.7,2,6 WHEELER TRUCK - ELF,14
2022-01-11,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,4,6.82,208000,5632.5,2,6 WHEELER TRUCK - ELF,14
2022-01-11,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,3,0.54,6000,6089.1,2,6 WHEELER TRUCK - ELF,14
2022-01-11,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,1,1.33,7500,353024.1,2,6 WHEELER TRUCK - ELF,14
2022-01-11,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,4,15.25,24000,684.9,2,6 WHEELER TRUCK - ELF,14
2022-01-11,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,15,5.45,259500,51537.1,2,6 WHEELER TRUCK - ELF,110
2022-01-11,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,7,40.32,10500,204296.88,2,6 WHEELER TRUCK - ELF,130
2022-01-11,Forwarder Alpha,PARANAQUE,Consignee India,KOREA,1,0.72,66000,28958.34,2,6 WHEELER TRUCK - ELF,14
2022-01-11,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,1,3.07,656500,171048.6,2,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,5,38.54,42000,2982.24,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,4,16.21,9000,70237,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,10,9.17,37500,2332.5,1,6 WHEELER TRUCK - ELF,130
2022-01-12,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,1,0.54,13500,88115.4,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Alpha,PARANAQUE,Consignee India,KOREA,7,3.26,40800,205.8,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Whiskey,PARANAQUE,Consignee Alpha,HONG KONG,10,103.88,9000,48934.5,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,1,21.21,141000,1065.15,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,7,0.42,601500,12270.64,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder November,PARANAQUE,Consignee Sierra,KOREA,17,2.71,15600,14914.24,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Beta,PARANAQUE,Consignee Beta,TAIWAN,3,9.8,85500,2438.64,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,8,40.28,265500,5625.92,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,4,37.18,210100,12500.1,1,6 WHEELER TRUCK - ELF,14
2022-01-12,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,9,71.77,519000,17616.45,1,6 WHEELER TRUCK - ELF,110
2022-01-12,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,14,3.14,9000,158.7,1,6 WHEELER TRUCK - ELF,14
2022-01-13,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,5,94.54,189000,1209,2,6 WHEELER TRUCK - ELF,14
2022-01-13,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,7,164.82,36000,942,2,6 WHEELER TRUCK - ELF,14
2022-01-13,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,2,26.33,133500,471.9,2,6 WHEELER TRUCK - ELF,14
2022-01-13,Forwarder Alpha,PARANAQUE,Consignee India,KOREA,1,1.8,21000,728.4,2,6 WHEELER TRUCK - ELF,14
2022-01-13,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,3,4.6,3000,8323.2,2,6 WHEELER TRUCK - ELF,130
2022-01-13,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,4,20.33,3000,27505.2,2,6 WHEELER TRUCK - ELF,14
2022-01-13,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,4,16.46,1500,9270,2,6 WHEELER TRUCK - ELF,14
2022-01-13,Forwarder Whiskey,PARANAQUE,Consignee Alpha,HONG KONG,4,42.05,63000,23686.05,2,6 WHEELER TRUCK - ELF,14
2022-01-13,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,16,25.28,178500,50982,2,6 WHEELER TRUCK - ELF,110
2022-01-13,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,4,8.45,192200,12825,2,6 WHEELER TRUCK - ELF,14
2022-01-14,Forwarder Beta,PARANAQUE,Consignee Beta,TAIWAN,4,4.28,70400,34947,4,6 WHEELER TRUCK - ELF,130
2022-01-14,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,14,110.03,136500,100534.74,4,6 WHEELER TRUCK - ELF,14
2022-01-14,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,2,15.46,160500,499.35,4,6 WHEELER TRUCK - ELF,14
2022-01-14,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,2,54.12,42000,4128.7,4,6 WHEELER TRUCK - ELF,14
2022-01-14,Forwarder November,PARANAQUE,Consignee Sierra,KOREA,1,99.41,7000,72911.76,4,6 WHEELER TRUCK - ELF,14
2022-01-14,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,12,5.32,132000,4910.4,4,6 WHEELER TRUCK - ELF,14
2022-01-14,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,7,85.75,13000,5177.55,4,6 WHEELER TRUCK - ELF,14
2022-01-14,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,2,0.03,203500,172236,4,6 WHEELER TRUCK - ELF,14
2022-01-14,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,4,45.25,232500,17102.4,4,6 WHEELER TRUCK - ELF,14
2022-01-14,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,10,105.58,216000,130921.68,4,6 WHEELER TRUCK - ELF,110
2022-01-15,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,4,24.93,282500,14461.35,3,6 WHEELER TRUCK - ELF,14
2022-01-15,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,13,342.53,6000,5371.35,3,6 WHEELER TRUCK - ELF,14
2022-01-15,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,11,3.24,9000,520.2,3,6 WHEELER TRUCK - ELF,130
2022-01-15,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,31,2.64,346600,117032.4,3,6 WHEELER TRUCK - ELF,14
2022-01-15,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,13,3.92,366000,2816.25,3,6 WHEELER TRUCK - ELF,110
2022-01-15,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,4,15.7,150000,21163.65,3,6 WHEELER TRUCK - ELF,14
2022-01-15,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,3,122.39,255000,108480.45,3,6 WHEELER TRUCK - ELF,14
2022-01-15,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,6,10.72,3000,618.9,3,6 WHEELER TRUCK - ELF,14
2022-01-15,Forwarder Beta,PARANAQUE,Consignee Beta,TAIWAN,2,10.51,150300,7297.8,3,6 WHEELER TRUCK - ELF,14
2022-01-15,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,1,9.23,1500,14401.05,3,6 WHEELER TRUCK - ELF,14
2022-01-15,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,1,76.27,154500,89960.49,3,6 WHEELER TRUCK - ELF,14
2022-01-17,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,3,60,58500,4910.4,2,6 WHEELER TRUCK - ELF,14
2022-01-17,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,1,9.81,104000,33076.23,2,6 WHEELER TRUCK - ELF,14
2022-01-17,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,14,4.76,22500,6620.04,2,6 WHEELER TRUCK - ELF,110
2022-01-17,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,15,4.84,60800,522.6,2,6 WHEELER TRUCK - ELF,14
2022-01-17,Forwarder November,PARANAQUE,Consignee Sierra,KOREA,13,39.52,476800,1566.88,2,6 WHEELER TRUCK - ELF,14
2022-01-17,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,1,1.02,120000,70414.62,2,6 WHEELER TRUCK - ELF,14
2022-01-17,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,3,1.3,1223600,2924.1,2,6 WHEELER TRUCK - ELF,130
2022-01-17,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,1,172.29,30000,4786.65,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,41,0.91,3000,333.3,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,22,7.13,874500,3710.4,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,16,1.45,161900,82624.62,2,6 WHEELER TRUCK - ELF,110
2022-01-18,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,24,40.12,466500,1579.5,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Whiskey,PARANAQUE,Consignee Alpha,HONG KONG,5,5.39,16500,13094.85,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,4,12.36,205500,5320.43,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,8,186.58,719700,5803.2,2,6 WHEELER TRUCK - ELF,130
2022-01-18,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,2,59.72,9000,18977.25,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,3,0.33,17000,33872.46,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,1,11.74,13500,4132.8,2,6 WHEELER TRUCK - ELF,130
2022-01-18,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,16,17.2,157900,156631.05,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,8,116.27,28500,2973.3,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Beta,PARANAQUE,Consignee Beta,TAIWAN,20,3.82,18800,4421.7,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Alpha,PARANAQUE,Consignee India,KOREA,2,2.49,9000,1756.95,2,6 WHEELER TRUCK - ELF,14
2022-01-18,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,12,0.48,223800,54888.35,2,6 WHEELER TRUCK - ELF,130
2022-01-19,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,10,131.93,16500,3905.55,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,7,13.6,62000,10656.9,4,6 WHEELER TRUCK - ELF,130
2022-01-19,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,3,73.47,2353500,6609.6,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,11,17.56,16500,10352.1,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,9,8.6,30000,18618.45,4,6 WHEELER TRUCK - ELF,110
2022-01-19,Forwarder Hotel,PARANAQUE,Consignee Eta,CHINA,6,4.84,48000,324,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Hotel,PARANAQUE,Consignee Eta,CHINA,6,1.49,229500,28187.25,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Romeo,PARANAQUE,Consignee Hotel,TAIWAN,7,8.33,55500,2841.75,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Beta,PARANAQUE,Consignee Beta,TAIWAN,1,36.1,19500,17983.56,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,11,33.39,30600,1985.4,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,6,6.19,63000,28431.6,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Alpha,PARANAQUE,Consignee India,KOREA,1,63.61,150000,800.1,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,2,34.65,31600,7297.8,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,3,1.32,30000,3848.9,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,1,79.4,585000,815.4,4,6 WHEELER TRUCK - ELF,14
2022-01-19,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,2,9.66,1608000,58809.17,4,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,12,110.67,15000,7954.65,2,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,2,63.61,45000,474.3,2,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Romeo,PARANAQUE,Consignee Alpha,HONG KONG,3,2.66,606000,81897.75,2,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,3,23.86,388000,23439,2,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,11,3.21,31100,942.6,2,6 WHEELER TRUCK - ELF,130
2022-01-20,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,2,23.79,10500,8007.3,2,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,13,13.19,234000,7259.2,2,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Alpha,PARANAQUE,Consignee India,KOREA,2,0.91,175500,471.9,2,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Romeo,PARANAQUE,Consignee Hotel,HONG KONG,24,45.93,16500,25705.95,2,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Victor,PARANAQUE,Consignee Foxtrot,GERMANY,8,61.5,32400,5461.65,2,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Quebec,PARANAQUE,Consignee Romeo,KOREA,2,257.61,108000,19789.05,2,6 WHEELER TRUCK - ELF,14
2022-01-20,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,25,6.73,283500,73870.21,2,6 WHEELER TRUCK - ELF,110
2022-01-20,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,12,28.71,7500,1543.2,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Hotel,PARANAQUE,Consignee Eta,CHINA,3,7.88,160500,298.8,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Whiskey,PARANAQUE,Consignee Alpha,HONG KONG,13,10.51,807000,2518.95,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,2,36.34,30000,14600,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Hotel,PARANAQUE,Consignee Eta,CHINA,3,0.54,78000,34060.74,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,1,72.25,86000,20223,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Romeo,PARANAQUE,Consignee Echo,TAIWAN,9,19.88,12000,6609.6,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Hotel,PARANAQUE,Consignee Eta,CHINA,4,209.93,232500,189163.58,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Beta,PARANAQUE,Consignee Beta,TAIWAN,1,5.54,429000,9779.6,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Lima,PARANAQUE,Consignee Gamma,HONG KONG,4,2.8,6000,14876.85,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Lima,PARANAQUE,Consignee Beta,HONG KONG,6,73.05,1500,312689.82,2,6 WHEELER TRUCK - ELF,14
2022-01-21,Forwarder Uniform,LAS PINAS,Consignee Uniform,JAPAN,1,1.81,12000,296.1,2,6 WHEELER TRUCK - ELF,110
2022-01-21,Forwarder Romeo,PARANAQUE,Consignee Echo,HONG KONG,4,2.13,3000,9771.15,2,6 WHEELER TRUCK - ELF,130
2022-01-21,Forwarder Juliett,PARANAQUE,Consignee Victor,JAPAN,5,10.22,105000,8862.48,2,6 WHEELER TRUCK - ELF,130
2022-01-22,Forwarder Kilo,PARANAQUE,Consignee Oscar,KOREA,2,93.84,474000,23445.52,5,6 WHEELER TRUCK - ELF,14
2022-01-22,Forwarder Foxtrot,PARANAQUE,Consignee Beta,SINGAPORE,6,6.12,96000,4054.2,5,6 WHEELER TRUCK - ELF,14
